src_ip,dst_ip,dst_port,protocol,flow_duration,packet_count_fwd,packet_count_bwd,byte_count_fwd,byte_count_bwd,iat_mean,iat_std,iat_max,iat_min,packet_size_mean,packet_size_std,packet_size_max,packet_size_min,flow_periodicity,directionality_ratio,label
192.168.2.3,93.184.216.34,80,TCP,0.2605311870574951,4,2,272,140,0.052106237411499,0.0626368697031766,0.1338818073272705,0.0003449916839599,68.66666666666667,3.771236166328253,74,66,1.2020992651707694,0.6666666666666666,Benign
185.244.25.235,192.168.1.195,55996,TCP,7.223637104034424,0,4,0,296,2.407879034678141,1.2530202230707868,4.079931974411011,1.0636510848999023,74.0,0.0,74,74,0.5203833768328303,0.0,C&C
176.32.98.203,192.168.2.3,34940,TCP,0.340001106262207,4,4,595,393,0.0485715866088867,0.054486841477948,0.1131830215454101,8.20159912109375e-05,123.5,124.55520864259351,425,54,1.1217842628179473,0.5,Benign
185.244.25.235,192.168.1.195,52464,TCP,7.230172157287598,0,4,0,296,2.4100573857625327,1.2507024119027803,4.079949140548706,1.070155143737793,74.0,0.0,74,74,0.5189512993720949,0.0,C&C
13.32.118.7,192.168.2.3,50126,TCP,0.0446012020111084,2,4,140,272,0.0089202404022216,0.0045033810115641,0.0139310359954833,0.0011520385742187,68.66666666666667,3.771236166328253,74,66,0.5048497359378912,0.3333333333333333,Benign
192.168.2.3,52.216.134.83,80,TCP,0.1092050075531005,2,1,254,54,0.0546025037765502,0.054219365119934,0.1088218688964843,0.0003831386566162,102.66666666666669,68.82506003549064,200,54,0.9929831302574672,0.6666666666666666,Benign
185.244.25.235,192.168.1.195,50146,TCP,1.0194261074066162,4,5,390,398,0.127428263425827,0.3009931956437839,0.9229590892791748,6.9141387939453125e-06,87.55555555555556,40.76793705055511,190,60,2.3620599351491984,0.4444444444444444,C&C
185.244.25.235,192.168.1.195,49574,TCP,7.235360145568848,0,4,0,296,2.411786715189616,1.2488210622140985,4.079914093017578,1.0753841400146484,74.0,0.0,74,74,0.5177991297277361,0.0,C&C
192.168.1.195,81.2.248.189,123,UDP,132.00397491455078,3,0,270,0,66.00198745727539,1.004045486450195,67.00603294372559,64.9979419708252,90.0,0.0,90,90,0.0152123523113623,1.0,Benign
192.168.100.113,213.199.225.40,123,UDP,74.08669686317444,7,6,630,540,6.173891405264537,17.457732171605652,63.99995589256287,0.0387258529663085,90.0,0.0,90,90,2.8276707550636986,0.5384615384615384,Benign
192.168.2.3,52.94.228.52,443,TCP,0.1151838302612304,2,1,161,54,0.0575919151306152,0.0575869083404541,0.1151788234710693,5.0067901611328125e-06,71.66666666666667,24.98443960192468,107,54,0.9999130643572144,0.6666666666666666,Benign
147.231.100.5,192.168.100.108,123,UDP,64.88601112365723,2,2,180,180,21.62867037455241,30.526110515550783,64.79908299446106,0.0017449855804443,90.0,0.0,90,90,1.4113724971030497,0.5,Benign
192.168.100.113,37.157.194.44,123,UDP,130.99906992912292,3,0,270,0,65.49953496456146,0.5005730390548706,66.00010800361633,64.99896192550659,90.0,0.0,90,90,0.0076423907333953,1.0,Benign
192.168.100.1,192.168.100.113,43963,UDP,5.039628028869629,1,2,145,162,2.5198140144348145,2.4855918884277344,5.005405902862549,0.03422212600708,102.33333333333331,30.169889330626027,145,81,0.986418788922104,0.3333333333333333,Benign
